concessionaria;ano_do_pnv_snv;rodovia;uf;km_m;municipio;tipo_pista;sentido;situcacao;data_da_inativacao;latitude;longitude
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;35,663;Atibaia;Principal;Crescente;Ativo;;-23,094648;-46,572893
AUTOPISTA FERNÃO DIAS;2007;BR-381;SP;84,150;São Paulo;Principal;Decrescente;Ativo;;-23,449089;-46,569489
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;491,568;Betim;Principal;Decrescente;Ativo;;-19,961503;-44,155125
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;491,382;Betim;Principal;Crescente;Ativo;;-19,959866;-44,154548
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;491,568;Betim;Principal;Decrescente;Ativo;;-19,961624;-44,155284
AUTOPISTA FERNÃO DIAS;2007;BR-381;MG;491,382;Betim;Principal;Crescente;Ativo;;-19,959957;-44,154569
AUTOPISTA FLUMINENSE;2019;BR-101;RJ;78,370;Campos dos Goytacazes;Principal;Decrescente;Ativo;;-21,836399;-41,422569
AUTOPISTA FLUMINENSE;2019;BR-101;RJ;106,020;Campos dos Goytacazes;Principal;Crescente;Ativo;;-21,925151;-41,622347
AUTOPISTA FLUMINENSE;2019;BR-101;RJ;318,330;São Gonçalo;Principal;Decrescente;Ativo;;-22,846692;-43,098858
AUTOPISTA FLUMINENSE;2019;BR-101;RJ;49,300;Campos dos Goytacazes;Principal;Crescente;Ativo;;-21,620697;-41,314932
AUTOPISTA LITORAL SUL;2009;BR-116;PR;108,600;Curitiba;Principal;Crescente/Decrescente;Ativo;;-25,565600;-49,244000
AUTOPISTA LITORAL SUL;2009;BR-101;SC;43,100;Joinville;Principal;Crescente/Decrescente;Ativo;;-26,332300;-48,861500
AUTOPISTA LITORAL SUL;2009;BR-101;SC;94,700;Barra Velha;Principal;Crescente/Decrescente;Ativo;;-26,709700;-48,702600
AUTOPISTA LITORAL SUL;2009;BR-101;SC;116,300;Itajaí;Principal;Crescente/Decrescente;Ativo;;-26,881200;-48,725100
AUTOPISTA LITORAL SUL;2009;BR-101;SC;137,800;Balneário Camboriú;Principal;Crescente/Decrescente;Ativo;;-27,022100;-48,608600
AUTOPISTA LITORAL SUL;2009;BR-101;SC;207,300;São José;Principal;Crescente/Decrescente;Ativo;;-27,601900;-48,627800
